# Generated 2024-12-22 13:36:58.327281
# Execution time 4685.0 s
# N = 5001 (number of FS points the same for each FS) 
# err = 1e-06 (integral error aim the same for each FS) 
# Lset mean free path setting outer square = [0, 7.5e-09]
# Lset mean free path setting inner square = [0, 7.5e-09]
# Lset mean free path setting chain = [0, 7.5e-09]
# Units of B are Tesla, sigma and error is 1/(Ohm meter)
# O = outer square, I = inner square, C = chain

B sxxO exxO sxyO exyO syyO eyyO sxxI exxI sxyI exyI syyI eyyI sxxC exxC sxyC exyC syyC eyyC
1.0000000000   1726329.78673         1.44103      2641.33276       185.27970   2168982.64099         0.93268   1570635.86676         0.46124      2828.09775         2.72750   1661862.25025         0.46800     79052.30088         0.03963        -1.28612         0.06261   2563652.54296         0.79023
2.0000000000   1726292.78455         1.35330      5472.64535       187.49881   2168895.82975         0.44441   1570608.23919         0.56553      5659.92358         3.25846   1661833.33192         0.60617     79000.68745         0.23243        -1.29101         0.06219   2563649.19896         0.50080
3.0000000000   1726231.21457         1.72317      8302.59700       188.48762   2168752.51237         0.54383   1570561.47125         0.29277      8491.30469         3.47285   1661784.51704         0.29665     78915.69568         0.39438        -1.31057         0.06157   2563643.61017         0.77639
4.0000000000   1726145.40774         1.74016     11130.53768       189.02451   2168553.26589         0.60872   1570496.21789         0.16002     11322.01558         3.57852   1661716.51359         0.15091     78798.27045         0.56772        -1.36628         0.06081   2563635.83095         0.72618
5.0000000000   1726036.27526         1.92514     13955.84768       189.36081   2168298.89875         0.94870   1570412.46089         0.22428     14151.83427         3.63444   1661629.28083         0.22049     78649.45359         0.73113        -1.49132         0.05993   2563626.21947         0.82185
7.5000000000   1725665.29288         2.75749     21004.01649       189.82671   2167425.90518         1.37798   1570122.33272         0.31109     21221.04992         3.67415   1661327.27309         0.25095     78147.66473         1.10593        -2.41472         0.05756   2563594.69152         1.35397
10.0000000000   1725163.72629         3.23731     28024.92554       190.04902   2166225.03707         2.25646   1569718.00997         0.20557     28280.00346         3.64725   1660906.56741         0.10545     77476.56408         1.45114        -4.95079         0.05536   2563554.34153         1.54481
15.0000000000   1723821.85179         3.87967     41965.48279       190.05242   2162905.54472         3.64936   1568573.43369         0.26627     42354.65006         3.47316   1659716.16725         0.09968     75713.52710         2.02074       -18.81031         0.05231   2563457.19021         1.96157
20.0000000000   1722109.66555         4.24943     55754.85727       189.42471   2158482.06067         4.55678   1566993.77797         0.36934     56352.95569         3.18024   1658074.59607         0.12336     73534.54113         2.44072       -49.11186         0.05071   2563350.28994         2.36526
25.0000000000   1720106.18028         4.16568     69388.57888       188.09639   2153101.21931         5.31854   1564997.49225         0.38396     70255.85399         2.78984   1656002.03309         0.07900     71095.39305         2.74436       -97.32091         0.04972   2563243.30410         2.52858
30.0000000000   1717868.44151         3.70548     82871.39741       186.05701   2146903.53408         5.79118   1562605.37314         0.45821     84048.18363         2.30352   1653520.82750         0.10712     68521.40955         2.95498      -161.00784         0.04888   2563141.36450         2.59662
35.0000000000   1715435.62519         3.03267     96211.95999       183.35099   2140018.68991         5.92957   1559839.31214         0.58004     97718.49088         1.72616   1650654.25061         0.19933     65907.00918         3.09323      -235.88851         0.04815   2563046.65072         2.62325
40.0000000000   1712833.75660         2.22152    109420.02750       180.08777   2132564.09774         5.78014   1556721.53913         0.76279    111258.61832         1.06733   1647425.79218         0.37255     63319.68545         3.17692      -317.41169         0.04739   2562959.73544         2.61979
45.0000000000   1710079.66732         1.32910    122505.15417       176.35930   2124644.67481         5.36994   1553273.95818         0.99678    124663.21738         0.33702   1643858.54629         0.60806     60805.09968         3.21895      -401.59601         0.04682   2562880.40145         2.60030
50.0000000000   1707183.91294         0.39837    135476.02454       172.30003   2116352.90934         4.72766   1549517.68662         1.26050    137929.24958         0.45356   1639974.76437         0.89025     58391.99961         3.23072      -485.33366         0.04639   2562808.10105         2.58480
55.0000000000   1704152.85252         0.55273    148340.29136       168.00066   2107769.15913         3.91643   1545472.74741         1.55280    151055.51091         1.29480   1635795.53351         1.22000     56096.51415         3.22084      -566.40087         0.04599   2562742.17232         2.54517
60.0000000000   1700990.11607         1.50614    161103.83177       163.55411   2098962.05736         2.96447   1541157.89580         1.88103    164042.18695         2.17694   1631340.56946         1.60424     53925.69653         3.19528      -643.33754         0.04559   2562681.95506         2.49142
65.0000000000   1697697.62420         2.44747    173772.05525       159.04738   2089989.41507         1.89308   1536590.51172         2.24987    176890.47061         3.08899   1626628.08190         2.04793     51880.32834         3.15787      -715.28588         0.04527   2562626.82725         2.42351
70.0000000000   1694276.28434         3.36498    186348.70337       154.55728   2080898.95084         0.70959   1531786.58949         2.65946    189602.20930         4.01869   1621674.71147         2.54833     49957.05879         3.11229      -781.83435         0.04511   2562576.24945         2.35272
75.0000000000   1690726.44867         4.24879    198836.59395       150.11057   2071729.39697         0.57504   1526760.72875         3.10155    202179.60164         4.95901   1616495.52810         3.10014     48149.99019         3.06054      -842.88410         0.04498   2562529.74040         2.28426
80.0000000000   1687048.21486         5.09640    211237.71995       145.76217   2062511.56758         1.94968   1521526.18720         3.57543    214624.96942         5.90030   1611104.11317         3.69507     46451.81074         3.00533      -898.54361         0.04487   2562486.87787         2.21921
85.0000000000   1683241.62241         5.90051    223553.29262       141.54007   2053269.42597         3.40405   1516095.00051         4.08047    226940.58122         6.84018   1605512.58363         4.33264     44854.57635         2.94794      -949.04999         0.04482   2562447.29011         2.15624
